"fYear","month","polygon","n_observations","mean_cfin_0_80","sd_cfin_0_80","min_cfin_0_80","max_cfin_0_80","mean_cgla_0_80","sd_cgla_0_80","min_cgla_0_80","max_cgla_0_80","mean_chyp_0_80","sd_chyp_0_80","min_chyp_0_80","max_chyp_0_80","mean_cfin_below_80","sd_cfin_below_80","min_cfin_below_80","max_cfin_below_80","mean_cgla_below_80","sd_cgla_below_80","min_cgla_below_80","max_cgla_below_80","mean_chyp_below_80","sd_chyp_below_80","min_chyp_below_80","max_chyp_below_80","mean_cfin_total","sd_cfin_total","min_cfin_total","max_cfin_total","mean_cgla_total","sd_cgla_total","min_cgla_total","max_cgla_total","mean_chyp_total","sd_chyp_total","min_chyp_total","max_chyp_total"
1999,2,"ecomon_37",123,2641.413,187.227,2299.527,3081.353,0.509,0.26,0.065,1.077,2.724,2.138,0.2,8.829,1385.704,300.377,968.199,2104.618,0.277,0.166,0.026,0.7,102.52,30.092,56.672,172.893,4027.117,313.119,3384.647,4597.836,0.787,0.412,0.091,1.657,105.244,32.161,57.04,181.6
1999,2,"ecomon_38",214,1475.665,983.223,374.267,3251.171,0.942,0.548,0.057,2.908,7.292,8.235,0.212,31.73,1495.489,501.535,559.614,2757.652,1.887,1.851,0.022,6.701,172.507,91.87,26.12,361.444,2971.154,743.494,1314.31,4514.022,2.829,2.245,0.079,8.901,179.799,99.271,29.261,392.46
1999,2,"ecomon_40",61,935.414,598.444,46.164,2120.527,1.148,0.595,0.537,3.333,8.778,6.971,0.067,22.798,118.553,78.825,9.601,262.255,0.061,0.047,0.005,0.187,6.737,6.458,0.059,20.999,972.34,654.475,46.164,2382.782,1.167,0.593,0.543,3.333,10.876,10.205,0.067,37.791
1999,2,"ecomon_41",249,2628.8,382.783,1240.947,3205.569,1.39,0.746,0.284,5.266,3.761,4.949,0.246,33.904,706.07,287.182,13.629,1293.679,0.362,0.237,0.002,1.667,59.664,29.435,0.04,192.935,3332.035,664.05,1240.947,4366.005,1.75,0.957,0.287,6.933,63.185,27.111,7.569,195.419
1999,2,"ecomon_42",214,2240.839,976.982,626.226,3349.854,2.057,1.065,0.806,6.441,2.702,2.338,0.223,9.829,1684.335,513.088,872.354,3183.157,2.028,1.447,0.25,6.309,150.204,52.465,55.38,301.537,3925.173,670.668,2252.351,4941.271,4.085,1.919,1.081,9.265,152.905,54.266,56.398,306.211
1999,2,"ecomon_43",96,1353.972,351.34,915.97,2954.283,2.889,0.95,1.255,5.12,12.928,14.981,0.397,52.331,1165.836,695.637,42.155,2631.668,2.165,1.171,0.136,4.656,99.845,51.611,3.408,212.002,2519.808,806.227,1075.848,4314.587,5.054,1.145,2.583,8.242,112.773,39.348,48.226,216.09
1999,2,"ecomon_44",47,906.224,277.177,520.586,1415.877,4.161,0.518,3.177,5.26,37.173,12.358,18.841,56.08,82.403,161.421,0.155,777.365,0.29,0.586,0.001,2.832,10.609,25.525,0.005,122.054,944.796,350.107,520.586,2145.482,4.297,0.759,3.177,7.816,42.139,21.739,18.841,143.926
1999,2,"ecomon_45",41,1251.738,433.496,463.985,2377.79,1.859,0.561,1.091,3.749,19.72,9.392,3.673,41.012,108.406,103.383,0.695,425.276,0.115,0.102,0.001,0.417,8.545,13.744,0.005,47.076,1304.619,510.194,463.985,2803.066,1.916,0.586,1.091,3.749,23.888,13.579,3.673,65.35
1999,2,"ecomon_46",27,1526.344,239.025,1287.2,2495.264,3.55,1.191,2.216,6.215,12.981,13.552,1.482,49.774,1276.503,641.415,192.814,2098.411,3.44,2.717,0.382,9.671,159.143,108.143,22.807,403.807,2802.847,535.293,1760.346,3656.552,6.99,3.784,3.056,15.789,172.124,98.276,70.594,405.665
1999,2,"ecomon_47",135,775.396,153.85,433.623,1144.279,2.633,1.276,0.352,8.013,23.382,14.494,0.515,57.585,374.27,394.105,1.534,1342.674,1.239,1.257,0.003,4.62,56.079,53.653,0.032,181.83,1113.625,473.142,433.623,2307.053,3.752,2.134,0.533,10.563,74.061,45.312,8.796,182.764
1999,2,"WSS",358,823.123,397.346,0.83,1614.21,3.622,1.883,0.077,10.361,20.699,18.089,0.02,78.137,691.264,708.223,0.155,2520.605,1.581,1.453,0.001,6.176,71.666,63.441,0.005,254.805,1305.849,951.494,0.83,3983.362,4.726,1.968,0.255,10.563,70.744,55.256,0.02,258.293
1999,2,"EGOM",217,1742.826,959.502,16.125,3126.295,2.655,1.211,1.012,7.004,10.718,11.95,0.077,49.774,663.973,446.807,0.695,2086.412,0.73,0.791,0.001,5.859,76.058,59.684,0.005,301.537,2186.495,1359.683,16.125,4584.25,3.142,1.526,1.091,10.312,61.54,56.444,0.077,306.211
1999,2,"JB",98,2277.527,838.696,915.966,3225.989,2.515,0.988,0.918,5.984,3.924,2.126,0.295,9.829,1882.656,502.269,661.393,3183.157,2.205,0.968,0.809,5.075,178.027,32.016,103.791,285.37,4160.183,525.079,3041.966,4941.271,4.721,1.133,2.543,8.72,181.951,33.346,104.086,290.705
